eng,spa_m,spa_f,spa_n
I am Ghanaian.,Soy ghanés.,Soy ghanésa.,
I am Guinean.,Soy guineano.,Soy guineana.,
I am Gambian.,Soy gambiano.,Soy gambiana.,
I am Guinea-Bissauan.,,,Soy de Guinea-Bisáu.
I am Equatorial Guinean.,Soy ecuatoguineano.,Soy ecuatoguineana.,
I am Greek.,Soy griego.,Soy griega.,
I am Grenadian.,Soy granadino.,Soy granadina.,
I am Guatemalan.,Soy guatemalteco.,Soy guatemalteca.,
I am Guyanese.,Soy guyanés.,Soy guyanésa.,
I am Honduran.,Soy hondureño.,Soy hondureña.,
I am Croatian.,,,Soy croata.
I am Haitian.,Soy haitiano.,Soy haitiana.,
I am Hungarian.,Soy húngaro.,Soy húngara.,
I am Indonesian.,Soy indonesio.,Soy indonesia.,
I am Indian.,Soy indio.,Soy india.,
I am Irish.,Soy irlandés.,Soy irlandésa.,
I am Iranian.,,,Soy iraní.
I am Iraqi.,,,Soy iraquí.
I am Icelander.,Soy islandés.,Soy islandésa.,
I am Israeli.,,,Soy israelí.
I am Italian.,Soy italiano.,Soy italiana.,
I am Jamaican.,Soy jamaicano.,Soy jamaicana.,
I am Jordanian.,Soy jordano.,Soy jordana.,
I am Japanese.,Soy japonés.,Soy japonésa.,
I am Kazakhstani.,Soy kazajo.,Soy kazaja.,
I am Kenyan.,,,Soy keniata.
I am Kirghiz.,,,Soy kirguís.
I am Cambodian.,Soy camboyano.,Soy camboyana.,
I am I-Kiribati.,Soy kiribatiano.,Soy kiribatiana.,
I am Kittitian or Nevisian.,Soy sancristobaleño.,Soy sancristobaleña.,
I am South Korean.,,,Soy de la República de Corea.
I am Kuwaiti.,,,Soy kuwaití.
I am Laotian.,Soy laosiano.,Soy laosiana.,
I am Lebanese.,Soy libanés.,Soy libanésa.,
I am Liberian.,Soy liberiano.,Soy liberiana.,
I am Libyan.,Soy libio.,Soy libia.,
I am Saint Lucian.,,,Soy santalucense.
I am Liechtensteiner.,Soy liechtensteiniano.,Soy liechtensteiniana.,
I am Sri Lankan.,Soy esrilanqués.,Soy esrilanquésa.,
I am Mosotho.,,,Soy lesotense.
I am Lithuanian.,Soy lituano.,Soy lituana.,
I am Luxembourger.,Soy luxemburgués.,Soy luxemburguésa.,
I am Latvian.,Soy letón.,Soy letona.,
I am Moroccan.,,,Soy marroquí.
I am Monegasque.,Soy monegasco.,Soy monegasca.,
I am Moldovan.,Soy moldavo.,Soy moldava.,
I am Malagasy.,,,Soy malgache.
I am Maldivan.,Soy maldivo.,Soy maldiva.,
I am Mexican.,Soy mexicano.,Soy mexicana.,
I am Marshallese.,Soy marshalés.,Soy marshalésa.,
I am Macedonian.,Soy macedonio.,Soy macedonia.,
I am Malian.,,,Soy malí.
I am Maltese.,Soy maltés.,Soy maltésa.,
I am Burmese.,,,Soy de Myanmar.
I am Montenegrin.,Soy montenegrino.,Soy montenegrina.,
I am Mongolian.,Soy mongól.,Soy mongola.,
I am Mozambican.,Soy mozambiqueño.,Soy mozambiqueña.,
I am Mauritanian.,Soy mauritano.,Soy mauritana.,
I am Mauritian.,Soy mauriciano.,Soy mauriciana.,
I am Malawian.,,,Soy malauí.
I am Malaysian.,Soy malasio.,Soy malasia.,
I am Namibian.,Soy namibio.,Soy namibia.,
I am Nigerien.,Soy nigerino.,Soy nigerina.,
I am Nigerian.,Soy nigeriano.,Soy nigeriana.,
I am Nicaraguan.,,,Soy nicaragüense.
I am Dutch.,Soy neerlandés.,Soy neerlandésa.,
I am Norwegian.,Soy noruego.,Soy noruega.,
I am Nepalese.,Soy nepalés.,Soy nepalésa.,
I am Nauruan.,Soy nauruano.,Soy nauruana.,
I am New Zealander.,Soy neozelandés.,Soy neozelandésa.,
I am Omani.,,,Soy omaní.
I am Pakistani.,,,Soy pakistaní.
I am Panamanian.,Soy panameño.,Soy panameña.,
I am Peruvian.,Soy peruano.,Soy peruana.,
I am Filipino.,Soy filipino.,Soy filipina.,
I am Palauan.,Soy palauano.,Soy palauana.,
I am Papua New Guinean.,,,Soy papú.
I am Polish.,Soy polaco.,Soy polaca.,
I am North Korean.,,,Soy de la República Popular Democrática de Corea.
I am Portuguese.,Soy portugués.,Soy portuguésa.,
I am Paraguayan.,Soy paraguayo.,Soy paraguaya.,
I am Qatari.,,,Soy qatarí.
I am Romanian.,Soy rumano.,Soy rumana.,
I am Russian.,Soy ruso.,Soy rusa.,
I am Rwandan.,Soy ruandés.,Soy ruandésa.,
I am Saudi Arabian.,,,Soy saudí.
I am Sudanese.,,,Soy sudanés.
I am Senegalese.,Soy senegalés.,Soy senegalésa.,
I am Singaporean.,,,Soy singapurense.
I am Solomon Islander.,,,Soy salomonense.
I am Sierra Leonean.,Soy sierraleonés.,Soy sierraleonésa.,
I am Salvadoran.,Soy salvadoreño.,Soy salvadorena.,
I am Sammarinese.,,,Soy sanmarinense.
I am Somali.,,,Soy somalí.
I am Serbian.,Soy serbio.,Soy serbia.,
I am South Sudanese.,,,Soy sursudanés.
I am Sao Tomean.,,,Soy santotomense.
I am Surinamer.,Soy surinamés.,Soy surinamésa.,
I am Slovak.,Soy eslovaco.,Soy eslovaca.,
I am Slovene.,Soy esloveno.,Soy eslovena.,
I am Swedish.,Soy sueco.,Soy sueca.,
I am Swazi.,,,Soy esuatiní.
I am Seychellois.,,,Soy seychellense.
I am Syrian.,Soy sirio.,Soy siria.,
I am Chadian.,Soy chadiano.,Soy chadiana.,
I am Togolese.,Soy togolés.,Soy togolésa.,
I am Thai.,Soy tailandés.,Soy tailandésa.,
I am Tadzhik.,Soy tayiko.,Soy tayika.,
I am Turkmen.,Soy turcomano.,Soy turcomana.,
I am East Timorese.,,,Soy timorense.
I am Tongan.,Soy tongano.,Soy tongana.,
I am Trinidadian.,,,Soy trinitense.
I am Tunisian.,Soy tunecino.,Soy tunecina.,
I am Turkish.,Soy turco.,Soy turca.,
I am Tuvaluan.,Soy tuvaluano.,Soy tuvaluana.,
I am Tanzanian.,Soy tanzano.,Soy tanzaa.,
I am Ugandan.,Soy ugandés.,Soy ugandésa.,
I am Ukrainian.,Soy ucraniano.,Soy ucraniana.,
I am Uruguayan.,Soy uruguayo.,Soy uruguaya.,
I am American.,Soy americano,Soy americana.,Soy estadounidense.
I am Uzbekistani.,Soy uzbeko.,Soy uzbeka.,
I am Saint Vincentian.,Soy sanvicentino.,Soy sanvicentina.,
I am Venezuelan.,Soy venezolano.,Soy venezolana.,
I am Vietnamese.,,,Soy vietnamita.
I am Ni-Vanuatu.,,,Soy vanuatuense.
I am Samoan.,Soy samoano.,Soy samoana.,
I am Yemeni.,,,Soy yemení.
I am South African.,Soy sudafricano.,Soy sudafricana.,
I am Zambian.,Soy zambiano.,Soy zambiana.,
I am Zimbabwean.,,,Soy zimbabuense.
