eng,fra_m,fra_f,fra_n
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,
I am Estonian.,Je suis Estonien.,Je suis Estonienne.,
I am Ethiopian.,Je suis Éthiopien.,Je suis Éthiopienne.,
I am Finnish.,Je suis Finlandais.,Je suis Finlandaise.,
I am Fijian.,Je suis Fidjien.,Je suis Fidjienne.,
I am French.,Je suis Français.,Je suis Française.,
I am Micronesian.,Je suis Micronésien.,Je suis Micronésienne.,
I am Gabonese.,Je suis Gabonais.,Je suis Gabonaise.,
I am British.,,,Je suis Britannique.
I am Georgian.,Je suis Géorgien.,Je suis Géorgienne.,
I am Ghanaian.,Je suis Ghanéen.,Je suis Ghanéenne.,
I am Guinean.,Je suis Guinéen.,Je suis Guinéenne.,
I am Gambian.,Je suis Gambien.,Je suis Gambienne.,
I am Guinea-Bissauan.,Je suis Bissau-Guinéen.,Je suis Bissau-Guinéenne.,
I am Equatorial Guinean.,Je suis Équato-guinéen.,Je suis Équato-guinéenne.,
I am Greek.,Je suis Grec.,Je suis Grecque.,
I am Grenadian.,Je suis Grenadien.,Je suis Grenadienne.,
I am Guatemalan.,,,Je suis Guatémaltèque.
I am Guyanese.,Je suis Guyanien.,Je suis Guyanienne.,
I am Honduran.,Je suis Hondurien.,Je suis Hondurienne.,
I am Croatian.,,,Je suis Croate.
I am Haitian.,Je suis Haïtien.,Je suis Haïtienne.,
I am Hungarian.,Je suis Hongrois.,Je suis Hongroise.,
I am Indonesian.,Je suis Indonésien.,Je suis Indonésienne.,
I am Indian.,Je suis Indien.,Je suis Indienne.,
I am Irish.,Je suis Irlandais.,Je suis Irlandaise.,
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,
I am Italian.,Je suis Italien.,Je suis Italienne.,
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,
I am Kirghiz.,,,Je suis Kirghize.
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,
I am Latvian.,Je suis Letton.,Je suis Lettone.,
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,
I am Monegasque.,,,Je suis Monégasque.
I am Moldovan.,,,Je suis Moldave.
I am Malagasy.,,,Je suis Malgache.
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,
I am Malian.,Je suis Malien.,Je suis Malienne.,
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,
I am Burmese.,Je suis Birman.,Je suis Birmane.,
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,
I am Omani.,Je suis Omanais.,Je suis Omanaise.,
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,
I am Filipino.,Je suis Philippin.,Je suis Philippine.,
I am Palauan.,Je suis Paluan.,Je suis Paluane.,
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,
I am Polish.,Je suis Polonais.,Je suis Polonaise.,
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,
I am Russian.,,,Je suis Russe.
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,
I am Somali.,Je suis Somalien.,Je suis Somalienne.,
I am Serbian.,,,Je suis Serbe.
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,
I am Slovak.,,,Je suis Slovaque.
I am Slovene.,,,Je suis Slovène.
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,
I am Swazi.,,,Je suis Swazie.
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,
I am Tadzhik.,,,Je suis Tadjike.
I am Turkmen.,,,Je suis Turkmène.
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,
I am Turkish.,Je suis Turc.,Je suis Turque.,
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,
I am American.,Je suis Américain.,Je suis Américaine.,
I am Uzbekistani.,,,Je suis Ouzbèke.
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,
I am Samoan.,Je suis Samoan.,Je suis Samoane.,
I am Yemeni.,,,Je suis Yéménite.
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,
